x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,111.,-0.0318603516,,,111.,0.0697702765,111.,-0.1673651338,,,,,,,,
,,,,,,,,,,,,,,112.,-0.0316162109,,,112.,-0.0475680828,112.,-0.1674990058,,,,,,,,
,,,,,,,,,,,,,,113.,-0.0314941406,,,113.,-0.1257547736,113.,-0.1675889492,,,,,,,,
,,,,,,,,,,,,,,114.,-0.0314941406,,,114.,-0.0493671298,114.,-0.1674795151,,,,,,,,
,,,,,,,,,,,,,,115.,-0.0316162109,,,115.,0.0730374455,115.,-0.1672888398,,,,,,,,
,,,,,,,,,,,,,,116.,-0.0318603516,,,116.,0.1289186478,116.,-0.1672486067,,,,,,,,
,,,,,,,,,,,,,,117.,-0.0318603516,,,117.,0.0292990804,117.,-0.1673905253,,,,,,,,
,,,,,,,,,,,,,,118.,-0.0316162109,,,118.,-0.0864103436,118.,-0.1675649881,,,,,,,,
,,,,,,,,,,,,,,119.,-0.0313720703,,,119.,-0.1110866666,119.,-0.1675550342,,,,,,,,
,,,,,,,,,,,,,,120.,-0.0314941406,,,120.,-0.0130223632,120.,-0.1674029827,,,,,,,,
,,,,,,,,,,,,,,121.,-0.0318603516,,,121.,0.1229423285,121.,-0.1672403216,,,,,,,,
,,,,,,,,,,,,,,122.,-0.0318603516,,,122.,0.1058616042,122.,-0.1672821641,,,,,,,,
,,,,,,,,,,,,,,123.,-0.0316162109,,,123.,-0.053319335,123.,-0.1675380468,,,,,,,,
,,,,,,,,,,,,,,124.,-0.0313720703,,,124.,-0.1248511076,124.,-0.1675909162,,,,,,,,
,,,,,,,,,,,,,,125.,-0.0313720703,,,125.,-0.0535694361,125.,-0.1674720645,,,,,,,,
,,,,,,,,,,,,,,126.,-0.0316162109,,,126.,0.0575000644,126.,-0.1672822237,,,,,,,,
,,,,,,,,,,,,,,127.,-0.0318603516,,,127.,0.1234790683,127.,-0.1672785282,,,,,,,,
,,,,,,,,,,,,,,128.,-0.0317382812,,,128.,-0.0142644048,128.,-0.1674530506,,,,,,,,
,,,,,,,,,,,,,,129.,-0.0314941406,,,129.,-0.1111087799,129.,-0.167562604,,,,,,,,
,,,,,,,,,,,,,,130.,-0.0313720703,,,130.,-0.0870767236,130.,-0.1675192118,,,,,,,,
,,,,,,,,,,,,,,131.,-0.0314941406,,,131.,0.0243814588,131.,-0.1673609018,,,,,,,,
,,,,,,,,,,,,,,132.,-0.0317382812,,,132.,0.1152943373,132.,-0.1672504544,,,,,,,,
,,,,,,,,,,,,,,133.,-0.0318603516,,,133.,0.0754010081,133.,-0.1673741937,,,,,,,,
,,,,,,,,,,,,,,134.,-0.0317382812,,,134.,-0.0355228782,134.,-0.1675029993,,,,,,,,
,,,,,,,,,,,,,,135.,-0.0313720703,,,135.,-0.1283192635,135.,-0.1675979495,,,,,,,,
,,,,,,,,,,,,,,136.,-0.0313720703,,,136.,-0.0591207743,136.,-0.1674671173,,,,,,,,
,,,,,,,,,,,,,,137.,-0.0317382812,,,137.,0.1046670675,137.,-0.1672701836,,,,,,,,
,,,,,,,,,,,,,,138.,-0.0318603516,,,138.,0.1251322627,138.,-0.1672951579,,,,,,,,
,,,,,,,,,,,,,,139.,-0.0317382812,,,139.,-0.0105350018,139.,-0.1674714088,,,,,,,,
,,,,,,,,,,,,,,140.,-0.0314941406,,,140.,-0.1102663279,140.,-0.1675757766,,,,,,,,
,,,,,,,,,,,,,,141.,-0.0313720703,,,141.,-0.085031271,141.,-0.1675271392,,,,,,,,
,,,,,,,,,,,,,,142.,-0.0314941406,,,142.,0.0247395635,142.,-0.1673483253,,,,,,,,
,,,,,,,,,,,,,,143.,-0.0317382812,,,143.,0.1133680344,143.,-0.1672410965,,,,,,,,
,,,,,,,,,,,,,,144.,-0.0318603516,,,144.,0.0803692341,144.,-0.1673676372,,,,,,,,
,,,,,,,,,,,,,,145.,-0.0316162109,,,145.,-0.0281242132,145.,-0.1674793363,,,,,,,,
,,,,,,,,,,,,,,146.,-0.0313720703,,,146.,-0.1299083233,146.,-0.1675758958,,,,,,,,
,,,,,,,,,,,,,,147.,-0.0313720703,,,147.,-0.0775293112,147.,-0.1674966812,,,,,,,,
,,,,,,,,,,,,,,148.,-0.0316162109,,,148.,0.0850178003,148.,-0.1673117280,,,,,,,,
,,,,,,,,,,,,,,149.,-0.0318603516,,,149.,0.1286000013,149.,-0.1672401428,,,,,,,,
,,,,,,,,,,,,,,150.,-0.0318603516,,,150.,0.0733233094,150.,-0.1673560739,,,,,,,,
,,,,,,,,,,,,,,151.,-0.0314941406,,,151.,-0.0948334336,151.,-0.1676007509,,,,,,,,
,,,,,,,,,,,,,,152.,-0.0313720703,,,152.,-0.1094388962,152.,-0.1675446033,,,,,,,,
,,,,,,,,,,,,,,153.,-0.0314941406,,,153.,-0.0070715547,153.,-0.1673970819,,,,,,,,
,,,,,,,,,,,,,,154.,-0.0317382812,,,154.,0.0964508653,154.,-0.1672815681,,,,,,,,
,,,,,,,,,,,,,,155.,-0.0318603516,,,155.,0.1028569341,155.,-0.1673083901,,,,,,,,
,,,,,,,,,,,,,,156.,-0.0317382812,,,156.,0.0040070415,156.,-0.1674526334,,,,,,,,
