error_signal,power_signal,t
1023,1422567,67826.804
1023,1422309,67826.933
1023,1422576,67827.06
1023,1422314,67827.182
1023,1422293,67827.306
1023,1422320,67827.434
1023,606331,67827.559
1023,1058564,67827.688
1023,1119238,67827.815
1023,738933,67827.943
1023,1291080,67828.066
1023,708477,67828.192
1023,1328373,67828.319
1023,1413306,67828.442
1023,1167498,67828.569
1023,1253140,67828.697
1023,1025510,67828.817
1023,1089418,67828.957
1023,558652,67829.082
1023,768126,67829.208
1023,455172,67829.332
1023,383713,67829.773
1023,430098,67829.979
1023,389731,67830.11
1023,504243,67830.236
1023,375256,67830.359
1023,511792,67830.48
1023,559104,67830.61
1023,366093,67830.735
1023,403458,67830.858
1022,335990,67830.982
1022,238489,67831.111
1023,452927,67831.228
1022,300139,67831.354
1022,333740,67831.477
1023,525225,67831.604
1023,458914,67831.725
1023,525103,67831.848
1023,982859,67831.975
1023,203831,67832.098
1023,887566,67832.223
1023,507767,67832.348
1022,368454,67832.47
1023,503727,67832.605
1023,399448,67832.723
1023,575437,67832.847
1023,427781,67832.975
1023,683931,67833.117
1023,547989,67833.242
1023,736115,67833.365
1023,637000,67833.485
1023,605043,67833.615
1023,611264,67833.735
1023,1422560,67833.859
1023,1356722,67833.984
1023,1422292,67834.108
1023,1422290,67834.235
1023,1422323,67834.358
1023,1422550,67834.482
1023,1422289,67834.612
1023,1422305,67834.728
1023,1422290,67834.853
1023,1422438,67834.976
1023,1422317,67835.097
1023,1422278,67835.224
1023,1422086,67835.352
1023,1422347,67835.473
1023,1422361,67835.599
1023,1422480,67835.72
1023,1422517,67835.846
1023,1422552,67835.975
1023,1422566,67836.092
1023,1422482,67836.22
1023,1422291,67836.344
1023,1422149,67836.467
1023,1422335,67836.596
1023,1422278,67836.712
1023,1422125,67836.855
1023,1422556,67836.976
1023,1422296,67837.106
1023,1422092,67837.23
1023,1422335,67837.514
1023,1422583,67837.632
1023,1433495,67837.762
1023,1400686,67837.881
1023,1298694,67838.005
1023,928138,67838.132
1023,1136385,67838.253
1023,1194447,67838.38
1023,1422084,67838.785
1023,1113159,67838.961
1023,1422174,67839.077
1023,769379,67839.201
1023,1163016,67839.327
1023,1422080,67839.47
1023,1422090,67839.594
1023,1422559,67839.72
1023,1422521,67839.837
1023,1422302,67839.964
1023,1422290,67840.088
1023,1422314,67840.214
1023,1422247,67840.337
1023,1422313,67840.46
1023,1422096,67840.591
185,409,67840.708
171,453,67840.832
144,666,67840.961
141,304,67841.08
228,443,67841.219
145,355,67841.344
169,409,67841.466
152,326,67841.599
164,390,67841.728
215,397,67841.852
151,447,67841.975
188,444,67842.121
149,448,67842.238
130,443,67842.367
206,474,67842.491
195,330,67842.619
167,419,67842.742
151,462,67842.861
170,431,67842.984
174,344,67843.11
133,398,67843.232
151,438,67843.358
147,441,67843.478
139,352,67843.607
53,651,67843.745
221,423,67843.869
91,496,67843.995
153,446,67844.133
135,270,67844.258
182,399,67844.383
123,437,67844.505
228,318,67844.635
147,356,67844.783
79,276,67844.911
387,363,67845.034
20,287,67845.159
2,407,67845.284
182,367,67845.41
114,456,67845.532
180,449,67845.662
184,379,67845.785
242,358,67845.911
162,268,67846.203
148,425,67846.327
194,392,67846.447
139,411,67846.572
82,439,67846.702
115,437,67846.852
143,498,67846.986
16842657,335,67847.1
201,481,67847.228
131,356,67847.353
106,339,67847.475
180,658,67847.605
179,429,67847.724
183,446,67847.849
16842496,357,67847.971
103,420,67848.095
16777219,371,67848.22
140,497,67848.442
432,460,67848.565
43,282,67848.695
133,460,67848.816
245,353,67848.955
121,456,67849.098
101,296,67849.218
58,733,67849.343
102,446,67849.465
16711784,396,67849.587
39,427,67849.716
167,450,67849.833
236,536,67849.962
41,348,67850.099
240,409,67850.225
81,424,67850.382
44,360,67850.506
128,504,67850.637
173,437,67850.758
211,448,67850.879
95,433,67851.002
406,446,67851.349
0,445,67851.568
3,447,67851.692
189,407,67851.811
288,347,67851.935
165,446,67852.068
96,459,67852.184
165,400,67852.308
65319,374,67852.701
145,410,67852.824
164,283,67852.943
133,420,67853.068
16711820,304,67853.192
196,148,67853.324
212,424,67853.456
271,291,67853.582
127,446,67853.708
330,733,67853.847
204,422,67853.969
70,452,67854.095
56,320,67854.233
123,362,67854.358
16711715,443,67854.482
138,429,67854.627
16777597,427,67854.745
281,299,67854.866
146,416,67854.997
160,419,67855.116
205,357,67855.24
65531,411,67855.366
198,398,67855.489
185,355,67855.616
366,474,67855.741
195,418,67855.862
64,201,67855.987
345,470,67856.11
69,713,67856.233
82,397,67856.369
270,685,67856.532
213,343,67856.663
198,395,67856.797
46,339,67856.921
184,615,67857.045
229,309,67857.175
65482,647,67857.294
44,477,67857.417
25,443,67857.544
215,411,67857.675
205,421,67857.804
193,406,67857.929
150,397,67858.051
159,342,67858.242
