x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,116.,0.0303955078,,,116.,-0.1668770313,116.,-0.1280896068,,,,,,,,
,,,,,,,,,,,,,,117.,0.0303955078,,,117.,-0.1666413546,117.,-0.007014215,,,,,,,,
,,,,,,,,,,,,,,118.,0.0305175781,,,118.,-0.1664729118,118.,0.1215462685,,,,,,,,
,,,,,,,,,,,,,,119.,0.0306396484,,,119.,-0.1667242646,119.,0.0017042160,,,,,,,,
,,,,,,,,,,,,,,120.,0.0303955078,,,120.,-0.1668993235,120.,-0.1217346191,,,,,,,,
,,,,,,,,,,,,,,121.,0.0302734375,,,121.,-0.1666661501,121.,-0.0146775246,,,,,,,,
,,,,,,,,,,,,,,122.,0.0305175781,,,122.,-0.1664785743,122.,0.1147346497,,,,,,,,
,,,,,,,,,,,,,,123.,0.0306396484,,,123.,-0.1666868329,123.,0.0220091939,,,,,,,,
,,,,,,,,,,,,,,124.,0.0303955078,,,124.,-0.1669033766,124.,-0.1110736728,,,,,,,,
,,,,,,,,,,,,,,125.,0.0302734375,,,125.,-0.1666738987,125.,-0.0231137276,,,,,,,,
,,,,,,,,,,,,,,126.,0.0305175781,,,126.,-0.166466713,126.,0.1122385859,,,,,,,,
,,,,,,,,,,,,,,127.,0.0306396484,,,127.,-0.1666690707,127.,0.0262516737,,,,,,,,
,,,,,,,,,,,,,,128.,0.0303955078,,,128.,-0.1668887138,128.,-0.1145291328,,,,,,,,
,,,,,,,,,,,,,,129.,0.0302734375,,,129.,-0.1668249965,129.,-0.1022509933,,,,,,,,
,,,,,,,,,,,,,,130.,0.0305175781,,,130.,-0.1664633751,130.,0.1135032773,,,,,,,,
,,,,,,,,,,,,,,131.,0.0306396484,,,131.,-0.1665282845,131.,0.1014018655,,,,,,,,
,,,,,,,,,,,,,,132.,0.0303955078,,,132.,-0.1668750644,132.,-0.1112332344,,,,,,,,
,,,,,,,,,,,,,,133.,0.0302734375,,,133.,-0.1668021679,133.,-0.0979584455,,,,,,,,
,,,,,,,,,,,,,,134.,0.0303955078,,,134.,-0.1665671468,134.,0.0479881763,,,,,,,,
,,,,,,,,,,,,,,135.,0.0306396484,,,135.,-0.1665482521,135.,0.0923804641,,,,,,,,
